Word	Cond_Prob	Norm_Prob	Count
similar	0.3333333333333333	1.3865124874158803	12
controversial	0.3333333333333333	1.3865124874158803	15
daily	0.2857142857142857	1.232361807588622	28
black	0.2857142857142857	1.232361807588622	28
various	0.2777777777777778	1.2041909306219258	18
old	0.2777777777777778	1.2041909306219258	18
february	0.2631578947368421	1.1501237093516499	19
live	0.2631578947368421	1.1501237093516499	19
aware	0.25	1.0988304149640995	20
global	0.21428571428571427	0.9446797351368411	14
critical	0.2	0.8756868636498898	15
sexual	0.19444444444444445	0.8475159866831934	36
difficult	0.18518518518518517	0.7987258225137612	27
private	0.175	0.7421554710253669	40
third	0.17391304347826086	0.735924921274731	23
strong	0.15625	0.6288267857183638	32
central	0.15384615384615385	0.6133225991823987	13
local	0.14285714285714285	0.5392146270286767	21
senior	0.13725490196078433	0.4992092924149777	51
national	0.13725490196078433	0.4992092924149777	153
criminal	0.13636363636363635	0.4926946113937838	22
former	0.13440860215053763	0.47825392723898946	186
responsible	0.13333333333333333	0.4702217555417253	15
related	0.13333333333333333	0.4702217555417253	30
red	0.13333333333333333	0.4702217555417253	15
federal	0.12790697674418605	0.42867275262885285	86
high	0.12	0.36486123988389896	25
direct	0.11764705882352941	0.3450586125877193	17
general	0.11650485436893204	0.33530243764235457	103
american	0.11594202898550725	0.33045981316656664	69
democratic	0.11578947368421053	0.3291431572818197	95
several	0.11363636363636363	0.3103730545998293	44
concerned	0.1111111111111111	0.2879001987477705	18
international	0.1111111111111111	0.2879001987477705	18
certain	0.1111111111111111	0.2879001987477705	18
new	0.1072961373390558	0.25296214738649025	233
white	0.10628019323671498	0.24344843617693682	207
complete	0.1	0.18253968308994448	10
serious	0.1	0.18253968308994448	20
corporate	0.1	0.18253968308994448	10
interested	0.1	0.18253968308994448	10
native	0.1	0.18253968308994448	10
last	0.0989010989010989	0.17148984690335942	182
other	0.0963855421686747	0.14572570996722814	166
continued	0.09523809523809523	0.13374951892051232	63
legal	0.09375	0.11800116195237319	64
much	0.09090909090909091	0.08722950328561949	77
foreign	0.09090909090909091	0.08722950328561949	44
many	0.09090909090909091	0.08722950328561949	110
whole	0.09090909090909091	0.08722950328561949	11
free	0.09090909090909091	0.08722950328561949	22
affordable	0.09090909090909091	0.08722950328561949	11
young	0.08695652173913043	0.04277774071478571	23
angry	0.08333333333333333	0.00021812629598970152	12
conservative	0.08333333333333333	0.00021812629598970152	72
latest	0.08333333333333333	0.00021812629598970152	24
united	0.08333333333333333	0.00021812629598970152	48
environmental	0.08333333333333333	0.00021812629598970152	12
small	0.08	-0.04060386822426539	25
possible	0.07692307692307693	-0.07982458137754661	39
influential	0.07692307692307693	-0.07982458137754661	13
narrative	0.07692307692307693	-0.07982458137754661	13
syrian	0.07407407407407407	-0.11756490936039374	27
most	0.072	-0.14596438388209174	125
previous	0.07142857142857142	-0.1539325535312686	14
liberal	0.07142857142857142	-0.1539325535312686	14
current	0.06666666666666667	-0.22292542501822	30
presidential	0.06451612903225806	-0.2557152478412109	62
economic	0.0625	-0.28746394615579113	16
hard	0.0625	-0.28746394615579113	32
total	0.0625	-0.28746394615579113	16
potential	0.058823529411764705	-0.34808856797222604	34
bad	0.058823529411764705	-0.34808856797222604	17
significant	0.058823529411764705	-0.34808856797222604	17
short	0.058823529411764705	-0.34808856797222604	17
entire	0.058823529411764705	-0.34808856797222604	17
personal	0.057692307692307696	-0.36750665382932757	104
such	0.05555555555555555	-0.4052469818121748	54
great	0.05555555555555555	-0.4052469818121748	36
real	0.05555555555555555	-0.4052469818121748	18
next	0.05454545454545454	-0.4235961204803713	55
important	0.05263157894736842	-0.45931420308245047	19
main	0.05263157894736842	-0.45931420308245047	19
congressional	0.04819277108433735	-0.5474214705927172	83
powerful	0.045454545454545456	-0.6059176772743258	22
due	0.045454545454545456	-0.6059176772743258	22
best	0.045454545454545456	-0.6059176772743258	22
wide	0.045454545454545456	-0.6059176772743258	22
big	0.0425531914893617	-0.6718756450661234	47
special	0.04081632653061224	-0.7135483414666913	147
legislative	0.04	-0.7337510487842107	25
wrong	0.04	-0.7337510487842107	25
russian	0.038461538461538464	-0.772971761937492	78
true	0.038461538461538464	-0.772971761937492	26
recent	0.037037037037037035	-0.810712089920339	54
civil	0.037037037037037035	-0.810712089920339	27
political	0.03571428571428571	-0.847079734091214	140
same	0.034482758620689655	-0.882171053902484	58
full	0.03225806451612903	-0.9488624284011562	31
own	0.03076923076923077	-0.9961153132517018	130
few	0.030303030303030304	-1.0113827853824902	33
republican	0.02952029520295203	-1.037552503115875	271
social	0.028985507246376812	-1.055834547953324	69
familiar	0.02702702702702703	-1.1257931365602343	37
major	0.023255813953488372	-1.2760753396095725	43
likely	0.02	-1.426898229344156	50
second	0.02	-1.426898229344156	50
clear	0.016129032258064516	-1.6420096089611016	62
