Word	Cond_Prob	Norm_Prob	Count
unredacted	1.0	0.10521104286716126	19
intensive	1.0	0.10521104286716126	25
uptick	1.0	0.10521104286716126	24
drastic	1.0	0.10521104286716126	39
undeniable	1.0	0.10521104286716126	20
indisputable	1.0	0.10521104286716126	11
unilateral	1.0	0.10521104286716126	26
aerial	1.0	0.10521104286716126	28
war-torn	1.0	0.10521104286716126	20
mid-february	1.0	0.10521104286716126	10
verifiable	1.0	0.10521104286716126	11
undertaken	1.0	0.10521104286716126	17
tumultuous	1.0	0.10521104286716126	54
well-positioned	1.0	0.10521104286716126	10
long-promised	1.0	0.10521104286716126	31
then-presidential	1.0	0.10521104286716126	22
50th	1.0	0.10521104286716126	21
51-49	1.0	0.10521104286716126	11
elusive	1.0	0.10521104286716126	26
hard-edged	1.0	0.10521104286716126	12
unregistered	1.0	0.10521104286716126	24
pro-russian	1.0	0.10521104286716126	60
election-year	1.0	0.10521104286716126	20
then-russian	1.0	0.10521104286716126	10
seven-year	1.0	0.10521104286716126	15
unarmed	1.0	0.10521104286716126	20
conceivable	1.0	0.10521104286716126	11
incendiary	1.0	0.10521104286716126	45
60-vote	1.0	0.10521104286716126	22
flourish	1.0	0.10521104286716126	20
full-blown	1.0	0.10521104286716126	19
family-based	1.0	0.10521104286716126	28
lesser-known	1.0	0.10521104286716126	12
full-scale	1.0	0.10521104286716126	10
narcissistic	1.0	0.10521104286716126	13
israeli-palestinian	1.0	0.10521104286716126	12
legendary	1.0	0.10521104286716126	41
oblivious	1.0	0.10521104286716126	13
iran-contra	1.0	0.10521104286716126	19
geopolitical	1.0	0.10521104286716126	23
vociferous	1.0	0.10521104286716126	13
ex-british	1.0	0.10521104286716126	12
emissary	1.0	0.10521104286716126	13
12-year	1.0	0.10521104286716126	15
poisonous	1.0	0.10521104286716126	17
angered	1.0	0.10521104286716126	71
50-per-night	1.0	0.10521104286716126	10
unrealistic	1.0	0.10521104286716126	12
transactional	1.0	0.10521104286716126	20
dishonorable	1.0	0.10521104286716126	14
unprompted	1.0	0.10521104286716126	12
contemporaneous	1.0	0.10521104286716126	31
